ItemType,Title,Author,AccessionedDate,OwningLibrary,ReplacementPrice,MissingStatus,MissingDate,CallNumber,PageCount,ItemSize,DateLastBorrowed,Genre,ShelvingLocation,
BOOK,Rodale's illustrated encyclopedia of herbs /,,9/1/00,ACL,24.95,4,3/22/19 14:54,635.7 Rod,"vi, 545 p. :",24 cm.,3/22/19,NonFiction,Adult,
BOOK,Amber Brown sees red /,"Danziger, Paula,",9/1/00,ACL,13.95,4,5/16/19 14:58,J Fic Dan,116 p. :,22 cm.,5/16/19,Fiction,Juvenile,
BOOK,Makeup art /,"Freeman, Ron.",9/1/00,ACL,18,4,4/24/19 11:57,J 792 Fre,48 p. :,27 cm.,4/24/19,NonFiction,Juvenile,
BOOK,Misery loves Maggody :,"Hess, Joan.",9/1/00,ACL,22,4,1/8/19 13:36,Fic Hes,285 p. ;,22 cm.,1/8/19,Fiction,Adult,
BOOK,France,"Johnson, Douglas,",9/1/00,ACL,15,4,4/3/19 13:38,944 Joh,271 p.,22 cm.,4/3/19,NonFiction,Adult,
BOOK,Wilderness homesteaders /,"Kavanaugh, Ethel,",9/1/00,ACL,10,4,2/21/19 10:46,917.98 Kav,303 p. :,24 cm.,2/21/19,NonFiction,Adult,
BOOK,Handmade rugs from practically anything /,"Laury, Jean Ray.",9/1/00,ACL,10,4,4/24/19 11:40,746.7 Lau,125 p. :,29 cm.,4/24/19,NonFiction,Adult,
BOOK,Hiccup /,"Mayer, Mercer,",9/1/00,ACL,10,4,6/3/19 14:44,JE May,[32] p. :,14 x 16 cm.,6/3/19,Fiction,JuvenileEasies,
BOOK,Insects and spiders /,"Milne, Lorus Johnson,",9/1/00,ACL,13,4,2/8/19 9:52,J 595.7 Mil,45 p. :,31 cm.,2/8/19,NonFiction,Juvenile,
BOOK,Runes of the North.,"Olson, Sigurd F.,",9/1/00,ACL,15,4,4/16/19 15:20,917 Ols,"xii, 254 p.",22 cm.,4/16/19,NonFiction,Adult,
BOOK,The suicidal mind /,"Shneidman, Edwin S.",9/1/00,ACL,35,4,5/16/19 15:24,616.85 Sch,"xiv, 187 p. ;",22 cm.,5/16/19,NonFiction,Adult,
BOOK,Peterson first guide to caterpillars /,"Wright, Amy Bartlett.",9/1/00,ACL,4.95,4,5/22/19 10:40,595.78 Wri,128 p. ;,19 cm.,5/22/19,NonFiction,Adult,
BOOK,Dave Barry is not taking this sitting down /,"Barry, Dave.",11/20/00,ACL,23,4,2/25/19 13:48,818.54 Bar,"xvii, 229 p. :",22 cm.,2/25/19,NonFiction,Adult,
BOOK,Driving the Pacific Coast.,"Oberrecht, Kenn.",1/30/01,ACL,12.95,4,4/16/19 15:20,917.95 Obe,"vii, 245 p. :",22 cm.,4/16/19,NonFiction,Adult,
LP,Daddy's little girl,"Clark, Mary Higgins.",6/12/02,ACL,26,4,2/21/19 10:52,L.T. Fic Cla,336 p. (large print) ;,24 cm.,2/21/19,Fiction,LargePrint,
BOOK,Take a thief :,"Lackey, Mercedes.",2/5/02,ACL,24.95,4,4/16/19 15:21,Fic Lac,351 p. ;,24 cm.,4/16/19,Fiction,Adult,
PB,The tragedy of Macbeth /,"Shakespeare, William,",9/12/02,ACL,5,4,2/14/19 15:28,822.3 Sha,267 p. ;,18 cm.,2/14/19,NonFiction,Adult,
BOOK,Origami holidays /,"Nguyen, Duy,",10/10/02,ACL,19.95,4,2/28/19 14:40,J 736.982 Ngu,96 p. :,26 cm.,2/28/19,NonFiction,Juvenile,
BOOK,Jazzy jars :,"Browning, Marie.",4/18/03,ACL,24.95,4,7/3/19 12:21,748.8 Bro,128 p. :,27 cm.,7/3/19,NonFiction,Adult,
BOOK,Plants for every season /,"Page, Martin,",6/13/03,ACL,18,4,4/16/19 15:20,635.9 Pag,576 p. :,15 cm x 11 cm.,4/16/19,NonFiction,Adult,
BOOK,The field guide /,"DiTerlizzi, Tony.",7/21/03,ACL,14.95,4,6/26/19 11:32,J Fic DiT,107 p.:,18 cm.,6/26/19,Fiction,Juvenile,
BOOK,Francia :,"Piauton, Marilyn.",12/22/03,ACL,18.95,4,1/18/19 15:03,Sp 641.3 Pia,226 p. ;,15 cm.,1/18/19,NonFiction,SpanishLanguage,
